NAV,Date (DD/MM/YYYY)
10.3309,23/03/2021
10.2922,24/03/2021
10.2683,25/03/2021
10.2999,26/03/2021
10.3012,27/03/2021
10.3026,28/03/2021
10.3039,29/03/2021
10.3240,30/03/2021
10.3193,31/03/2021
10.3209,01/04/2021
10.3226,02/04/2021
10.3242,03/04/2021
10.3258,04/04/2021
10.3528,05/04/2021
10.3563,06/04/2021
10.3751,07/04/2021
10.3947,08/04/2021
10.3826,09/04/2021
10.3843,10/04/2021
10.3860,11/04/2021
10.3364,12/04/2021
10.3381,13/04/2021
10.3398,14/04/2021
10.3467,15/04/2021
10.3483,16/04/2021
10.35,17/04/2021
10.3516,18/04/2021
10.3106,19/04/2021
10.3235,20/04/2021
10.3252,21/04/2021
10.3456,22/04/2021
10.3283,23/04/2021
10.33,24/04/2021
10.3316,25/04/2021
10.3788,26/04/2021
10.3974,27/04/2021
10.4152,28/04/2021
10.4202,29/04/2021
10.4137,30/04/2021
10.4154,01/05/2021
10.4171,02/05/2021
10.4249,03/05/2021
10.4123,04/05/2021
10.4356,05/05/2021
10.4644,06/05/2021
10.4719,07/05/2021
10.4735,08/05/2021
10.4752,09/05/2021
10.4817,10/05/2021
10.4799,11/05/2021
10.4606,12/05/2021
10.4622,13/05/2021
10.4524,14/05/2021
10.4540,15/05/2021
10.4556,16/05/2021
10.4832,17/05/2021
10.4952,18/05/2021
10.4960,19/05/2021
10.4894,20/05/2021
10.5222,21/05/2021
10.5238,22/05/2021
10.5254,23/05/2021
10.5249,24/05/2021
10.5488,25/05/2021
10.5505,26/05/2021
10.5584,27/05/2021
10.5691,28/05/2021
10.5707,29/05/2021
10.5707,30/05/2021
10.5744,31/05/2021
10.5734,01/06/2021
10.5828,02/06/2021
10.6040,03/06/2021
10.5866,04/06/2021
10.5882,05/06/2021
10.5898,06/06/2021
10.6081,07/06/2021
10.6241,08/06/2021
10.6127,09/06/2021
10.6444,10/06/2021
10.6545,11/06/2021
10.6560,12/06/2021
10.6575,13/06/2021
10.6611,14/06/2021
10.6516,15/06/2021
10.6179,16/06/2021
10.6150,17/06/2021
10.6157,18/06/2021
10.6174,19/06/2021
10.6191,20/06/2021
10.6085,21/06/2021
10.6036,22/06/2021
10.5945,23/06/2021
10.6076,24/06/2021
10.6084,25/06/2021
10.6101,26/06/2021
10.6117,27/06/2021
10.6067,28/06/2021
10.6160,29/06/2021
10.6121,30/06/2021
10.6169,01/07/2021
10.6158,02/07/2021
10.6175,03/07/2021
10.6191,04/07/2021
10.6332,05/07/2021
10.6055,06/07/2021
10.6274,07/07/2021
10.6371,08/07/2021
10.6292,09/07/2021
10.6309,10/07/2021
10.6325,11/07/2021
10.6307,12/07/2021
10.6520,13/07/2021
10.6612,14/07/2021
10.6756,15/07/2021
10.6842,16/07/2021
10.6858,17/07/2021
10.6873,18/07/2021
10.6812,19/07/2021
10.6814,20/07/2021
10.6829,21/07/2021
10.7009,22/07/2021
10.7082,23/07/2021
10.7097,24/07/2021
10.7113,25/07/2021
10.71,26/07/2021
10.7007,27/07/2021
10.70,28/07/2021
10.7106,29/07/2021
10.7011,30/07/2021
10.7027,31/07/2021
10.7042,01/08/2021
10.7276,02/08/2021
10.7591,03/08/2021
10.7667,04/08/2021
10.7808,05/08/2021
10.7684,06/08/2021
10.7699,07/08/2021
10.7715,08/08/2021
10.7858,09/08/2021
10.7777,10/08/2021
