Date (DD/MM/YYYY),NAV
26/10/2010,11.6869
27/10/2010,11.6419
28/10/2010,11.5121
29/10/2010,11.4647
01/11/2010,11.5205
02/11/2010,11.7077
03/11/2010,11.7100
04/11/2010,11.7885
08/11/2010,12.0186
09/11/2010,12.0012
10/11/2010,12.0539
11/11/2010,12.0059
12/11/2010,11.8512
15/11/2010,11.6213
16/11/2010,11.7030
18/11/2010,11.4510
19/11/2010,11.4695
22/11/2010,11.2646
23/11/2010,11.4901
24/11/2010,11.3471
25/11/2010,11.2158
26/11/2010,11.0914
29/11/2010,11.0015
30/11/2010,11.1428
01/12/2010,11.2067
02/12/2010,11.3908
03/12/2010,11.4841
06/12/2010,11.4484
07/12/2010,11.4465
08/12/2010,11.4171
09/12/2010,11.2802
10/12/2010,11.0197
13/12/2010,11.1912
14/12/2010,11.2839
15/12/2010,11.3512
16/12/2010,11.2524
20/12/2010,11.3586
21/12/2010,11.3611
22/12/2010,11.4623
23/12/2010,11.4310
24/12/2010,11.4224
27/12/2010,11.4816
28/12/2010,11.4560
29/12/2010,11.4518
30/12/2010,11.5746
31/12/2010,11.6532
03/01/2011,11.7150
04/01/2011,11.7577
05/01/2011,11.7363
06/01/2011,11.6105
07/01/2011,11.5509
10/01/2011,11.2820
11/01/2011,11.0170
12/01/2011,10.9988
13/01/2011,11.1899
14/01/2011,10.9964
17/01/2011,10.8144
18/01/2011,10.8137
19/01/2011,10.9456
20/01/2011,10.8827
21/01/2011,10.9213
24/01/2011,10.8926
25/01/2011,10.9798
27/01/2011,10.8747
28/01/2011,10.7197
31/01/2011,10.5486
01/02/2011,10.5365
02/02/2011,10.3689
03/02/2011,10.3961
04/02/2011,10.5743
07/02/2011,10.3308
08/02/2011,10.3306
09/02/2011,10.1737
10/02/2011,10.0622
11/02/2011,10.0138
14/02/2011,10.1731
15/02/2011,10.4444
17/02/2011,10.4909
18/02/2011,10.6109
21/02/2011,10.4460
22/02/2011,10.5590
23/02/2011,10.4661
24/02/2011,10.4063
25/02/2011,10.0757
28/02/2011,10.1518
01/03/2011,10.2074
03/03/2011,10.5569
04/03/2011,10.5819
07/03/2011,10.5864
08/03/2011,10.4459
09/03/2011,10.5538
10/03/2011,10.5726
11/03/2011,10.5037
14/03/2011,10.4125
15/03/2011,10.5702
16/03/2011,10.4196
17/03/2011,10.5356
18/03/2011,10.4167
21/03/2011,10.2819
22/03/2011,10.2639
23/03/2011,10.3542
24/03/2011,10.4762
25/03/2011,10.5521
28/03/2011,10.7966
29/03/2011,10.8567
30/03/2011,10.9504
31/03/2011,11.0462
05/04/2011,11.2698
06/04/2011,11.2725
07/04/2011,11.2382
08/04/2011,11.2263
11/04/2011,11.1467
13/04/2011,11.0426
15/04/2011,11.2729
18/04/2011,11.1116
19/04/2011,10.9318
20/04/2011,10.9545
21/04/2011,11.1636
25/04/2011,11.2252
26/04/2011,11.2060
27/04/2011,11.1943
28/04/2011,11.1278
29/04/2011,11.0360
02/05/2011,10.9679
03/05/2011,10.8747
04/05/2011,10.6196
05/05/2011,10.5669
06/05/2011,10.4311
09/05/2011,10.6002
10/05/2011,10.5991
11/05/2011,10.5793
12/05/2011,10.6222
13/05/2011,10.4740
16/05/2011,10.5821
18/05/2011,10.3875
19/05/2011,10.3539
20/05/2011,10.3680
23/05/2011,10.4786
24/05/2011,10.2918
25/05/2011,10.3069
26/05/2011,10.2211
27/05/2011,10.3456
30/05/2011,10.4641
