Date,NAV
03-May-17,20.1750
02-May-17,20.1676
01-May-17,20.1935
30-Apr-17,20.1892
29-Apr-17,20.1848
28-Apr-17,20.1805
27-Apr-17,20.1555
26-Apr-17,20.1570
25-Apr-17,20.1886
24-Apr-17,20.1909
23-Apr-17,20.1949
22-Apr-17,20.1906
21-Apr-17,20.1862
20-Apr-17,20.2102
19-Apr-17,20.1976
18-Apr-17,20.1856
17-Apr-17,20.1806
16-Apr-17,20.1819
15-Apr-17,20.1776
14-Apr-17,20.1733
13-Apr-17,20.1689
12-Apr-17,20.1431
11-Apr-17,20.1132
10-Apr-17,20.0899
09-Apr-17,20.0841
08-Apr-17,20.0797
07-Apr-17,20.0753
06-Apr-17,20.1028
05-Apr-17,20.1531
04-Apr-17,20.1748
03-Apr-17,20.1704
02-Apr-17,20.1827
01-Apr-17,20.1784
31-Mar-17,20.1740
30-Mar-17,20.1002
29-Mar-17,20.0724
28-Mar-17,20.0758
27-Mar-17,20.0715
26-Mar-17,20.0315
25-Mar-17,20.0272
24-Mar-17,20.0229
23-Mar-17,20.0155
22-Mar-17,19.9618
21-Mar-17,19.9039
20-Mar-17,19.8798
19-Mar-17,19.8985
18-Mar-17,19.8942
17-Mar-17,19.8899
16-Mar-17,19.8611
15-Mar-17,19.8149
14-Mar-17,19.7956
13-Mar-17,19.8051
12-Mar-17,19.8008
11-Mar-17,19.7965
10-Mar-17,19.7922
09-Mar-17,19.8149
08-Mar-17,19.8614
07-Mar-17,19.8626
06-Mar-17,19.9058
05-Mar-17,19.9072
04-Mar-17,19.9028
03-Mar-17,19.8984
02-Mar-17,19.8972
01-Mar-17,19.8886
28-Feb-17,19.9430
27-Feb-17,19.9507
26-Feb-17,19.9249
25-Feb-17,19.9207
24-Feb-17,19.9164
23-Feb-17,19.9121
22-Feb-17,19.9430
21-Feb-17,19.9783
20-Feb-17,19.9740
19-Feb-17,19.9978
18-Feb-17,19.9935
17-Feb-17,19.9892
16-Feb-17,19.9995
15-Feb-17,19.9875
14-Feb-17,19.9835
13-Feb-17,19.9803
12-Feb-17,19.9794
11-Feb-17,19.9751
10-Feb-17,19.9708
09-Feb-17,19.9362
08-Feb-17,20.0264
07-Feb-17,20.2420
06-Feb-17,20.2256
05-Feb-17,20.2116
04-Feb-17,20.2073
03-Feb-17,20.2030
02-Feb-17,20.2242
01-Feb-17,20.2136
31-Jan-17,20.1881
30-Jan-17,20.1949
29-Jan-17,20.1920
28-Jan-17,20.1877
27-Jan-17,20.1834
26-Jan-17,20.1746
25-Jan-17,20.1703
24-Jan-17,20.1571
23-Jan-17,20.1682
22-Jan-17,20.1566
21-Jan-17,20.1523
20-Jan-17,20.1480
19-Jan-17,20.1298
18-Jan-17,20.1546
17-Jan-17,20.1506
16-Jan-17,20.1462
15-Jan-17,20.1439
14-Jan-17,20.1396
13-Jan-17,20.1353
12-Jan-17,20.1414
11-Jan-17,20.1303
10-Jan-17,20.1110
09-Jan-17,20.1257
08-Jan-17,20.1060
07-Jan-17,20.1017
06-Jan-17,20.0974
05-Jan-17,20.1089
04-Jan-17,20.1064
03-Jan-17,20.0657
02-Jan-17,20.0467
01-Jan-17,19.9455
31-Dec-16,19.9413
30-Dec-16,19.9370
29-Dec-16,19.8860
28-Dec-16,19.8192
27-Dec-16,19.8590
26-Dec-16,19.9054
25-Dec-16,19.9280
24-Dec-16,19.9237
23-Dec-16,19.9195
22-Dec-16,19.9161
21-Dec-16,19.9553
20-Dec-16,19.9358
19-Dec-16,19.9129
18-Dec-16,19.9013
17-Dec-16,19.8971
16-Dec-16,19.8928
15-Dec-16,19.9186
14-Dec-16,19.9521
13-Dec-16,19.9279
12-Dec-16,19.9616
11-Dec-16,19.9573
10-Dec-16,19.9531
09-Dec-16,19.9488
08-Dec-16,19.9467
07-Dec-16,20.0197
06-Dec-16,20.2092
05-Dec-16,20.2078
04-Dec-16,20.1964
03-Dec-16,20.1921
02-Dec-16,20.1879
01-Dec-16,20.1975
30-Nov-16,20.1608
29-Nov-16,20.1342
28-Nov-16,20.1754
27-Nov-16,20.2267
26-Nov-16,20.2225
25-Nov-16,20.2182
24-Nov-16,20.2027
23-Nov-16,20.1471
22-Nov-16,20.1416
21-Nov-16,20.0890
20-Nov-16,20.0231
19-Nov-16,20.0189
18-Nov-16,20.0146
17-Nov-16,20.0431
16-Nov-16,20.0595
15-Nov-16,19.8601
14-Nov-16,19.7559
13-Nov-16,19.7516
12-Nov-16,19.7474
11-Nov-16,19.7432
10-Nov-16,19.7447
09-Nov-16,19.7296
08-Nov-16,19.6285
07-Nov-16,19.6362
06-Nov-16,19.6378
05-Nov-16,19.6336
04-Nov-16,19.6293
03-Nov-16,19.6311
02-Nov-16,19.6294
01-Nov-16,19.6415
31-Oct-16,19.6415
30-Oct-16,19.6372
