Date (MM/DD/YYYY),NAV
3/9/2010,12.0332
3/10/2010,11.9806
3/11/2010,12.0145
3/12/2010,12.0542
3/15/2010,12.0624
3/17/2010,12.2037
3/18/2010,12.2824
3/19/2010,12.3168
3/22/2010,12.3556
3/23/2010,12.2201
3/25/2010,12.2677
3/26/2010,12.349
3/29/2010,12.3989
3/30/2010,12.4458
3/31/2010,12.351
4/5/2010,12.4161
4/6/2010,12.5948
4/7/2010,12.5886
4/8/2010,12.6051
4/9/2010,12.4465
4/12/2010,12.5762
4/13/2010,12.5239
4/15/2010,12.4907
4/16/2010,12.3758
4/19/2010,12.3499
4/20/2010,12.2138
4/21/2010,12.2748
4/22/2010,12.3088
4/23/2010,12.3647
4/26/2010,12.4451
4/27/2010,12.4866
4/28/2010,12.4537
4/29/2010,12.2371
4/30/2010,12.3258
5/3/2010,12.3804
5/4/2010,12.2517
5/5/2010,12.0783
5/6/2010,12.0355
5/7/2010,11.9742
5/10/2010,11.8434
5/11/2010,12.162
5/12/2010,12.0578
5/13/2010,12.0817
5/14/2010,12.1202
5/17/2010,11.969
5/18/2010,11.897
5/19/2010,11.9151
5/20/2010,11.5762
5/21/2010,11.6431
5/24/2010,11.6055
5/25/2010,11.6357
5/26/2010,11.3186
5/28/2010,11.7665
5/31/2010,11.9094
6/1/2010,11.9537
6/2/2010,11.687
6/3/2010,11.766
6/4/2010,11.9718
6/7/2010,12.0281
6/8/2010,11.7996
6/9/2010,11.6902
6/10/2010,11.7466
6/11/2010,11.9415
6/14/2010,12.0342
6/15/2010,12.213
6/16/2010,12.2651
6/17/2010,12.2858
6/18/2010,12.366
6/21/2010,12.338
6/22/2010,12.5469
6/23/2010,12.4627
6/24/2010,12.4757
6/25/2010,12.4719
6/28/2010,12.3459
6/29/2010,12.4945
6/30/2010,12.3251
7/2/2010,12.3156
7/5/2010,12.3156
7/6/2010,12.2726
7/7/2010,12.3936
7/8/2010,12.2847
7/9/2010,12.4194
7/12/2010,12.5506
7/13/2010,12.6253
7/14/2010,12.6607
7/15/2010,12.6273
7/16/2010,12.6093
7/19/2010,12.6436
7/20/2010,12.628
7/21/2010,12.5869
7/22/2010,12.6542
7/23/2010,12.75
7/26/2010,12.77
7/27/2010,12.7014
7/28/2010,12.7283
7/29/2010,12.6548
7/30/2010,12.6806
8/2/2010,12.5882
8/3/2010,12.7323
8/4/2010,12.7506
8/5/2010,12.814
8/6/2010,12.7661
8/9/2010,12.7476
8/10/2010,12.8586
8/11/2010,12.8047
8/12/2010,12.7152
8/13/2010,12.7061
8/16/2010,12.7874
8/17/2010,12.7137
8/18/2010,12.7094
8/20/2010,12.9941
8/23/2010,12.9714
8/24/2010,13.0014
8/25/2010,12.9148
8/26/2010,12.8142
8/27/2010,12.8508
8/30/2010,12.6939
8/31/2010,12.7119
9/1/2010,12.6825
9/2/2010,12.8364
9/3/2010,12.8702
9/6/2010,12.8558
9/7/2010,13.0711
9/8/2010,13.1326
9/9/2010,13.1426
9/13/2010,13.2195
9/14/2010,13.4882
9/15/2010,13.5669
9/16/2010,13.712
9/17/2010,13.6402
9/20/2010,13.7678
9/21/2010,13.9845
9/22/2010,14.0495
9/23/2010,14.0495
9/24/2010,13.9379
9/27/2010,14.0666
9/28/2010,14.1051
9/29/2010,14.0894
10/1/2010,14.3451
10/4/2010,14.3451
10/5/2010,14.3786
10/6/2010,14.3485
10/7/2010,14.4354
10/8/2010,14.2877
10/11/2010,14.2492
10/12/2010,14.322
10/13/2010,14.2194
10/14/2010,14.5468
10/15/2010,14.4168
10/18/2010,14.1538
10/19/2010,14.1862
10/20/2010,14.0749
10/21/2010,13.9727
10/22/2010,14.2543
10/25/2010,14.1737
10/26/2010,14.2659
10/27/2010,14.2107
10/28/2010,14.0511
10/29/2010,13.9952
11/1/2010,14.0615
11/2/2010,14.296
11/3/2010,14.2993
11/4/2010,14.3937
11/8/2010,14.6733
11/9/2010,14.6519
11/10/2010,14.7119
11/11/2010,14.6757
11/12/2010,14.4855
11/15/2010,14.1995
11/16/2010,14.3169
11/18/2010,14.0132
11/19/2010,14.0439
11/22/2010,13.7824
11/23/2010,14.014
11/24/2010,13.8369
11/25/2010,13.6773
11/26/2010,13.5314
11/29/2010,13.4152
11/30/2010,13.5923
12/1/2010,13.6681
12/2/2010,13.8889
12/3/2010,14.0047
12/6/2010,13.9621
12/7/2010,13.9563
12/8/2010,13.9261
12/9/2010,13.7507
12/10/2010,13.4329
12/13/2010,13.6381
12/14/2010,13.7552
12/15/2010,13.8357
12/16/2010,13.7127
12/20/2010,13.8474
12/21/2010,13.8487
12/22/2010,13.9707
12/23/2010,13.9325
12/24/2010,13.9231
12/27/2010,13.9935
12/28/2010,13.946
12/29/2010,13.9449
12/30/2010,14.0711
12/31/2010,14.2627
1/3/2011,14.352
1/4/2011,14.4049
1/5/2011,14.3739
1/6/2011,14.2295
1/7/2011,14.1732
1/10/2011,13.9508
1/11/2011,13.5845
1/12/2011,13.4971
1/13/2011,13.6775
1/14/2011,13.3433
1/17/2011,13.1196
1/18/2011,13.1226
1/19/2011,13.2896
1/20/2011,13.2068
1/21/2011,13.2583
1/24/2011,13.2223
1/25/2011,13.3253
1/27/2011,13.1941
1/28/2011,13.0074
1/31/2011,12.7989
2/1/2011,12.783
2/2/2011,12.5778
2/3/2011,12.6112
2/4/2011,12.8268
2/7/2011,12.5216
2/8/2011,12.5261
2/9/2011,12.3369
2/10/2011,12.2046
2/11/2011,12.1401
2/14/2011,12.3381
2/15/2011,12.6716
2/17/2011,12.7335
2/18/2011,12.8827
2/21/2011,12.6796
2/22/2011,12.8267
2/23/2011,12.711
2/24/2011,12.6332
2/25/2011,12.2424
2/28/2011,12.3323
3/1/2011,12.399
3/3/2011,12.8464
3/4/2011,12.8713
3/7/2011,12.8714
3/8/2011,12.7065
3/9/2011,12.8347
3/10/2011,12.8573
3/11/2011,12.7739
3/14/2011,12.6624
3/15/2011,12.8599
3/16/2011,12.6696
3/17/2011,12.8124
3/18/2011,12.6647
3/21/2011,12.4975
3/22/2011,12.4775
3/23/2011,12.5915
3/24/2011,12.7443
3/25/2011,12.8444
3/28/2011,13.1458
3/29/2011,13.2177
3/30/2011,13.3293
3/31/2011,13.4491
4/5/2011,13.7251
4/6/2011,13.7264
4/7/2011,13.6835
4/8/2011,13.669
4/11/2011,13.5674
4/13/2011,13.4403
4/15/2011,13.7271
4/18/2011,13.5267
4/19/2011,13.3084
4/20/2011,13.3356
4/21/2011,13.5944
4/25/2011,13.6685
4/26/2011,13.6512
4/27/2011,13.6341
4/28/2011,13.5543
4/29/2011,13.4439
5/2/2011,13.3617
5/3/2011,13.2519
5/4/2011,12.9373
5/5/2011,12.8723
5/6/2011,12.7049
5/9/2011,12.916
5/10/2011,12.9153
5/11/2011,12.8879
5/12/2011,12.9447
5/13/2011,12.7622
5/16/2011,12.8964
5/18/2011,12.6537
5/19/2011,12.6115
5/20/2011,12.6289
5/23/2011,12.768
5/24/2011,12.5419
5/25/2011,12.5606
5/26/2011,12.4567
5/27/2011,12.6079
5/30/2011,12.7513
5/31/2011,12.7433
6/1/2011,12.9428
6/2/2011,13.0166
6/3/2011,12.9381
6/6/2011,12.8606
6/7/2011,12.8954
6/8/2011,12.9503
6/9/2011,12.8881
6/10/2011,12.8737
6/13/2011,12.81
6/14/2011,12.8048
6/15/2011,12.8462
6/16/2011,12.7219
6/17/2011,12.6081
6/20/2011,12.5384
6/21/2011,12.287
6/22/2011,12.3268
6/23/2011,12.3416
6/24/2011,12.4366
6/27/2011,12.7899
6/28/2011,12.9202
6/29/2011,12.9635
6/30/2011,13.0978
7/4/2011,13.1623
7/5/2011,13.2221
7/6/2011,13.1787
7/7/2011,13.1619
7/8/2011,13.4043
7/11/2011,13.2521
7/12/2011,13.1487
7/13/2011,12.9413
7/14/2011,13.0778
7/15/2011,13.1151
7/18/2011,13.0735
7/19/2011,13.0404
7/20/2011,13.1538
7/21/2011,13.0464
7/22/2011,12.9886
7/25/2011,13.2011
7/26/2011,13.3071
7/27/2011,13.1042
7/28/2011,13.038
7/29/2011,12.9262
8/1/2011,12.9131
8/2/2011,12.9935
8/3/2011,12.8557
8/4/2011,12.7377
8/8/2011,12.2847
8/9/2011,12.0791
8/10/2011,11.9753
8/11/2011,12.1735
8/12/2011,12.1212
8/16/2011,11.9704
8/17/2011,11.8815
8/18/2011,11.9406
8/22/2011,11.4519
8/23/2011,11.5763
8/24/2011,11.6913
8/25/2011,11.5504
8/26/2011,11.4424
8/29/2011,11.2214
8/30/2011,11.6265
9/2/2011,11.8152
9/5/2011,11.9066
9/6/2011,11.8542
9/7/2011,11.9683
9/8/2011,12.1099
9/9/2011,12.1798
9/12/2011,11.9572
9/13/2011,11.6942
9/14/2011,11.6826
9/15/2011,11.8456
9/16/2011,11.9946
9/19/2011,12.0164
9/20/2011,11.886
9/21/2011,12.1826
9/22/2011,12.1676
9/23/2011,11.677
9/26/2011,11.5478
9/27/2011,11.472
9/28/2011,11.783
9/29/2011,11.7223
10/3/2011,11.7158
10/4/2011,11.4951
10/5/2011,11.3117
10/7/2011,11.2645
10/10/2011,11.5774
10/11/2011,11.7914
10/12/2011,11.7796
10/13/2011,12.0714
10/14/2011,12.0198
10/17/2011,12.1488
10/18/2011,12.1147
10/19/2011,11.9246
10/20/2011,12.1641
10/21/2011,12.0593
10/24/2011,11.9597
10/25/2011,12.0661
10/28/2011,12.2825
10/31/2011,12.6757
11/1/2011,12.5939
11/2/2011,12.4264
11/3/2011,12.4245
11/4/2011,12.442
11/8/2011,12.4894
11/9/2011,12.5008
11/11/2011,12.3419
11/14/2011,12.2198
11/15/2011,12.1661
11/16/2011,11.9837
11/17/2011,11.8965
11/18/2011,11.6745
11/21/2011,11.6073
11/22/2011,11.3095
11/23/2011,11.3864
11/24/2011,11.1388
11/25/2011,11.2578
11/28/2011,11.1469
11/29/2011,11.4742
11/30/2011,11.365
12/1/2011,11.4275
12/2/2011,11.6791
12/5/2011,11.9446
12/7/2011,11.9189
12/8/2011,11.9741
12/9/2011,11.6894
12/12/2011,11.5164
12/13/2011,11.264
12/14/2011,11.3488
12/15/2011,11.2621
12/16/2011,11.224
12/19/2011,11.0522
12/20/2011,10.9789
12/21/2011,10.87
12/22/2011,11.1533
12/23/2011,11.1499
12/26/2011,11.1126
12/27/2011,11.2421
