Date (MM/DD/YYYY),NAV
04/18/2019,11.3259
04/16/2019,11.3413
04/15/2019,11.3353
04/12/2019,11.3353
04/11/2019,11.3383
04/10/2019,11.3324
04/09/2019,11.3264
04/08/2019,11.3245
04/05/2019,11.3565
04/04/2019,11.3765
04/03/2019,11.423
04/02/2019,11.4125
03/31/2019,11.3793
03/30/2019,11.3768
03/29/2019,11.3765
03/28/2019,11.3774
03/27/2019,11.3581
03/26/2019,11.3487
03/25/2019,11.3439
03/22/2019,11.3147
03/20/2019,11.2798
03/19/2019,11.2656
03/18/2019,11.2781
03/15/2019,11.2502
03/14/2019,11.2415
03/13/2019,11.2354
03/12/2019,11.2327
03/11/2019,11.2315
03/08/2019,11.2097
03/07/2019,11.1907
03/06/2019,11.1824
03/05/2019,11.1789
03/01/2019,11.1652
02/28/2019,11.1502
02/27/2019,11.113
02/26/2019,11.1556
02/25/2019,11.1664
02/22/2019,11.325
02/21/2019,11.1856
02/20/2019,11.1819
02/18/2019,11.1649
02/15/2019,11.1622
02/14/2019,11.1985
02/13/2019,11.2097
02/12/2019,11.1724
02/11/2019,11.1726
02/08/2019,11.1729
02/07/2019,11.1714
02/06/2019,11.1246
02/05/2019,11.1058
02/04/2019,11.1035
02/01/2019,11.1222
01/31/2019,11.1836
01/30/2019,11.154
01/29/2019,11.1545
01/28/2019,11.1469
01/25/2019,11.1316
01/24/2019,11.1251
01/23/2019,11.1243
01/22/2019,11.1298
01/21/2019,11.1013
01/18/2019,11.0968
01/17/2019,11.1245
01/16/2019,11.1163
01/15/2019,11.1581
01/14/2019,11.1386
01/14/2019,11.1712
01/10/2019,11.1282
01/09/2019,11.1347
01/08/2019,11.1315
01/07/2019,11.0725
01/04/2019,11.1131
01/04/2019,11.1007
01/02/2019,11.1408
01/01/2019,11.119
12/31/2018,11.155
12/28/2018,11.1549
12/27/2018,11.1882
12/26/2018,11.1947
12/24/2018,11.1621
12/21/2018,11.1627
12/20/2018,11.1675
12/19/2018,11.1762
12/18/2018,11.1023
12/17/2018,11.0656
12/14/2018,11.0615
12/13/2018,11.072
12/12/2018,11.0564
12/11/2018,10.9823
12/10/2018,10.9787
12/07/2018,11.0185
12/06/2018,11.0488
12/05/2018,11.0134
12/04/2018,10.9347
