Date (DD/MM/YYYY),NAV
14/03/2021,10.1512
15/03/2021,10.2417
16/03/2021,10.2554
17/03/2021,10.2559
18/03/2021,10.2493
19/03/2021,10.2799
20/03/2021,10.2815
21/03/2021,10.2831
22/03/2021,10.2998
23/03/2021,10.3309
24/03/2021,10.2922
25/03/2021,10.2683
26/03/2021,10.2999
27/03/2021,10.3012
28/03/2021,10.3026
29/03/2021,10.3039
30/03/2021,10.3240
31/03/2021,10.3193
01/04/2021,10.3209
02/04/2021,10.3226
03/04/2021,10.3242
04/04/2021,10.3258
05/04/2021,10.3528
06/04/2021,10.3563
07/04/2021,10.3751
08/04/2021,10.3947
09/04/2021,10.3826
10/04/2021,10.3843
11/04/2021,10.3860
12/04/2021,10.3364
13/04/2021,10.3381
14/04/2021,10.3398
15/04/2021,10.3467
16/04/2021,10.3483
17/04/2021,10.35
18/04/2021,10.3516
19/04/2021,10.3106
20/04/2021,10.3235
21/04/2021,10.3252
22/04/2021,10.3456
23/04/2021,10.3283
24/04/2021,10.33
25/04/2021,10.3316
26/04/2021,10.3788
27/04/2021,10.3974
28/04/2021,10.4152
29/04/2021,10.4202
30/04/2021,10.4137
01/05/2021,10.4154
02/05/2021,10.4171
03/05/2021,10.4249
04/05/2021,10.4123
05/05/2021,10.4356
06/05/2021,10.4644
07/05/2021,10.4719
08/05/2021,10.4735
09/05/2021,10.4752
10/05/2021,10.4817
11/05/2021,10.4799
12/05/2021,10.4606
13/05/2021,10.4622
14/05/2021,10.4524
15/05/2021,10.4540
16/05/2021,10.4556
17/05/2021,10.4832
18/05/2021,10.4952
19/05/2021,10.4960
20/05/2021,10.4894
21/05/2021,10.5222
22/05/2021,10.5238
23/05/2021,10.5254
24/05/2021,10.5249
25/05/2021,10.5488
26/05/2021,10.5505
27/05/2021,10.5584
28/05/2021,10.5691
29/05/2021,10.5707
30/05/2021,10.5707
31/05/2021,10.5744
01/06/2021,10.5734
02/06/2021,10.5828
03/06/2021,10.6040
04/06/2021,10.5866
05/06/2021,10.5882
06/06/2021,10.5898
07/06/2021,10.6081
08/06/2021,10.6241
09/06/2021,10.6127
10/06/2021,10.6444
11/06/2021,10.6545
12/06/2021,10.6560
13/06/2021,10.6575
14/06/2021,10.6611
15/06/2021,10.6516
16/06/2021,10.6179
17/06/2021,10.6150
18/06/2021,10.6157
19/06/2021,10.6174
20/06/2021,10.6191
21/06/2021,10.6085
22/06/2021,10.6036
23/06/2021,10.5945
24/06/2021,10.6076
25/06/2021,10.6084
26/06/2021,10.6101
27/06/2021,10.6117
28/06/2021,10.6067
29/06/2021,10.6160
30/06/2021,10.6121
01/07/2021,10.6169
02/07/2021,10.6158
03/07/2021,10.6175
04/07/2021,10.6191
05/07/2021,10.6332
06/07/2021,10.6055
07/07/2021,10.6274
08/07/2021,10.6371
09/07/2021,10.6292
10/07/2021,10.6309
11/07/2021,10.6325
12/07/2021,10.6307
13/07/2021,10.6520
14/07/2021,10.6612
15/07/2021,10.6756
16/07/2021,10.6842
17/07/2021,10.6858
18/07/2021,10.6873
19/07/2021,10.6812
20/07/2021,10.6814
21/07/2021,10.6829
22/07/2021,10.7009
23/07/2021,10.7082
24/07/2021,10.7097
25/07/2021,10.7113
26/07/2021,10.71
27/07/2021,10.7007
28/07/2021,10.70
29/07/2021,10.7106
30/07/2021,10.7011
31/07/2021,10.7027
01/08/2021,10.7042
02/08/2021,10.7276
03/08/2021,10.7591
04/08/2021,10.7667
05/08/2021,10.7808
06/08/2021,10.7684
07/08/2021,10.7699
08/08/2021,10.7715
09/08/2021,10.7858
10/08/2021,10.7777
