Date (DD-MM-YYYY),NAV
03-10-2019,18.4939
01-10-2019,18.4523
30-09-2019,18.4244
27-09-2019,18.3975
26-09-2019,18.3740
25-09-2019,18.3506
24-09-2019,18.3609
23-09-2019,18.3540
20-09-2019,18.3406
19-09-2019,18.4574
18-09-2019,18.4521
17-09-2019,18.4093
16-09-2019,18.4119
13-09-2019,18.4448
12-09-2019,18.4137
11-09-2019,18.4390
09-09-2019,18.4442
06-09-2019,18.4282
05-09-2019,18.4144
04-09-2019,18.4628
03-09-2019,18.4036
30-08-2019,18.3905
29-08-2019,18.3763
28-08-2019,18.3878
27-08-2019,18.4248
26-08-2019,18.4132
23-08-2019,18.3902
22-08-2019,18.3574
21-08-2019,18.3237
20-08-2019,18.3212
19-08-2019,18.2736
16-08-2019,18.2846
14-08-2019,18.2472
13-08-2019,18.2946
09-08-2019,18.2995
08-08-2019,18.3369
07-08-2019,18.3216
06-08-2019,18.2742
05-08-2019,18.2991
02-08-2019,18.3085
01-08-2019,18.2718
31-07-2019,18.2638
30-07-2019,18.2426
29-07-2019,18.2299
26-07-2019,18.1647
25-07-2019,18.1399
24-07-2019,18.2207
23-07-2019,18.2242
22-07-2019,18.2471
19-07-2019,18.2468
18-07-2019,18.2608
17-07-2019,18.2692
16-07-2019,18.3083
15-07-2019,18.2314
12-07-2019,18.1877
11-07-2019,18.1280
10-07-2019,18.1234
09-07-2019,18.0604
08-07-2019,18.0738
05-07-2019,18.0247
04-07-2019,17.9394
03-07-2019,17.9056
02-07-2019,17.8614
01-07-2019,17.8523
28-06-2019,17.8436
27-06-2019,17.8522
26-06-2019,17.8265
25-06-2019,17.8609
24-06-2019,17.8758
21-06-2019,17.8720
20-06-2019,17.9111
19-06-2019,17.8703
18-06-2019,17.8516
17-06-2019,17.8190
14-06-2019,17.8062
13-06-2019,17.7589
12-06-2019,17.7583
11-06-2019,17.7295
10-06-2019,17.7280
07-06-2019,17.7669
06-06-2019,17.7783
04-06-2019,17.7203
03-06-2019,17.7354
31-05-2019,17.6998
30-05-2019,17.6185
29-05-2019,17.6539
28-05-2019,17.6357
27-05-2019,17.6344
24-05-2019,17.5481
23-05-2019,17.4990
22-05-2019,17.4325
21-05-2019,17.4613
20-05-2019,17.4643
17-05-2019,17.3974
16-05-2019,17.3789
15-05-2019,17.3359
14-05-2019,17.3405
13-05-2019,17.3579
10-05-2019,17.3157
09-05-2019,17.3249
08-05-2019,17.3259
07-05-2019,17.3104
06-05-2019,17.2891
03-05-2019,17.2684
02-05-2019,17.2881
30-04-2019,17.2967
26-04-2019,17.2770
25-04-2019,17.2486
24-04-2019,17.2715
23-04-2019,17.2230
22-04-2019,17.2372
18-04-2019,17.2692
16-04-2019,17.2586
15-04-2019,17.2489
12-04-2019,17.2424
11-04-2019,17.2561
10-04-2019,17.2717
09-04-2019,17.2761
08-04-2019,17.2674
05-04-2019,17.3035
04-04-2019,17.3028
03-04-2019,17.3268
02-04-2019,17.3519
31-03-2019,17.3760
30-03-2019,17.3721
29-03-2019,17.2980
28-03-2019,17.3007
27-03-2019,17.2406
26-03-2019,17.2579
25-03-2019,17.2513
22-03-2019,17.2118
20-03-2019,17.1642
19-03-2019,17.1397
18-03-2019,17.1190
15-03-2019,17.0690
14-03-2019,17.0776
13-03-2019,17.0747
12-03-2019,17.0824
11-03-2019,17.0397
08-03-2019,16.9839
07-03-2019,16.9439
06-03-2019,16.9182
05-03-2019,16.9028
01-03-2019,16.8755
28-02-2019,16.8563
27-02-2019,16.8377
26-02-2019,16.8429
25-02-2019,16.8660
22-02-2019,16.8588
21-02-2019,16.8776
20-02-2019,16.8611
18-02-2019,16.8606
15-02-2019,16.8594
14-02-2019,16.8474
13-02-2019,16.8833
12-02-2019,16.8566
11-02-2019,16.8864
08-02-2019,16.8705
07-02-2019,16.8437
06-02-2019,16.7743
05-02-2019,16.7690
04-02-2019,16.7805
01-02-2019,16.8007
31-01-2019,16.8323
30-01-2019,16.8288
29-01-2019,16.8121
28-01-2019,16.8406
25-01-2019,16.8302
24-01-2019,16.7958
23-01-2019,16.8016
22-01-2019,16.7837
21-01-2019,16.7420
18-01-2019,16.7978
17-01-2019,16.7858
16-01-2019,16.7949
15-01-2019,16.8165
14-01-2019,16.8380
11-01-2019,16.7809
10-01-2019,16.7683
09-01-2019,16.7752
08-01-2019,16.7599
07-01-2019,16.7421
04-01-2019,16.7302
03-01-2019,16.7160
02-01-2019,16.7256
01-01-2019,16.7148
31-12-2018,16.7071
28-12-2018,16.7014
27-12-2018,16.7294
26-12-2018,16.6931
24-12-2018,16.6763
21-12-2018,16.6622
20-12-2018,16.6466
19-12-2018,16.6045
18-12-2018,16.5563
17-12-2018,16.5412
14-12-2018,16.5172
13-12-2018,16.5207
12-12-2018,16.5291
11-12-2018,16.4861
10-12-2018,16.4971
07-12-2018,16.5527
06-12-2018,16.5505
05-12-2018,16.5433
04-12-2018,16.4915
03-12-2018,16.4659
30-11-2018,16.4545
29-11-2018,16.4335
28-11-2018,16.4112
